,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-9579-CMR,1990,9579,,Natural,Climatological,Drought,Drought,,,Cameroon,CMR,Middle Africa,Africa,North provinces,,Food shortage,Famine,Yes,,,,,Km2,,,,,1990,,,1991,,,,,186900,,186900,,,,,,,48.21879729,,,,
1990-9059-BOL,1990,9059,,Natural,Climatological,Drought,Drought,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La paz, Oruro, Potosi, Cochabamba, Tarija departments",,Water shortage,,Yes,No,Yes,,,Km2,,,,,1990,,,1990,,,,,283160,,283160,,,,,,,48.21879729,,,,
1990-9578-BFA,1990,9578,,Natural,Climatological,Drought,Drought,,,Burkina Faso,BFA,Western Africa,Africa,North and Central provinces,,,,Yes,,,,,Km2,,,,,1990,12,,1990,,,,,2600000,,2600000,,,,,,,48.21879729,,,,
1990-9604-BWA,1990,9604,,Natural,Climatological,Drought,Drought,,,Botswana,BWA,Southern Africa,Africa,,,,,,,,,,Km2,,,,,1992,,,1992,,,,,100000,,100000,,,,,,,48.21879729,,,,
1991-9697-AUS,1991,9697,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,"Western, South",,,,,,,,,Km2,,,,,1991,,,1991,,,,,,,,,,,,473000,941090,50.26085283,,,,
1991-9006-CHL,1991,9006,,Natural,Climatological,Drought,Drought,,,Chile,CHL,South America,Americas,,,,,,,,,,Km2,,,,,1991,1,,1991,5,,,,,,,,,,,200000,397924,50.26085283,,,,
1991-9305-CHN,1991,9305,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Jiangxi, Hunan provinces",,,,,,,,,Km2,,,,,1991,2,,1991,8,,2000,,5000000,,5000000,,,,,,,50.26085283,,,,
1991-9050-CYP,1991,9050,,Natural,Climatological,Drought,Drought,,,Cyprus,CYP,Western Asia,Asia,,,,,,,,,,Km2,,,,,1991,3,,1991,,,,,,,,,,,,,,50.26085283,,,,
1992-9543-AUS,1992,9543,,Natural,Climatological,Drought,Drought,,,Australia,AUS,Australia and New Zealand,Oceania,Queensland,,,,,No,Yes,,,Km2,,,,,1992,12,,1995,12,,,,7000000,,7000000,,,,,1500000,2896694,51.78316204,,,,
1992-9090-CHN,1992,9090,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,Hunnan provinces,,,,,,,,58000,Km2,,,,,1992,,,1993,,,,,,,,,,,,53200,102736,51.78316204,,,,
